id,isLeaf,layoutStyle,visible,editable,attributes,name,description,contact,mainText,searchTags,geoLocation,iconImage,bannerImage,carouselImages
content_1736296224598_0aU0XQwTE4NTi5LN9nRVndnaSARtTP8nMF5CyByKq1,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Check-in/Check-out,,{},"Our check-in process is quick and efficient, ensuring you settle into your room with ease. Check-out is equally seamless, with staff available to assist you at any time. Flexible options are available upon request.",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaCalendarCheck.svg,,
content_1736294516864_RbiFTaSOYBtAT6oVhX9KThNxP0PDEEMdIb0JeLQ98D,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Wi-Fi,,{},"Our hotel provides seamless Wi-Fi connectivity throughout the premises. Whether you are in your room, at the restaurant, or in the lobby, you can stay connected to what matters most. Enjoy fast and reliable internet for work, streaming, or browsing at your convenience.",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaWifiSolid.svg,https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/S3Id_1734913147060_3FzlEtGzQRZFgNtQ4G5S39HgBXqhloAOe3o0q80RKPEO9/1736374246014_Wi-Fi_2.png,{https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/S3Id_1734913147060_3FzlEtGzQRZFgNtQ4G5S39HgBXqhloAOe3o0q80RKPEO9/1736374251653_Wi-Fi_2.png}
content_1736296473669_85jhCjPVp8xpYT34gAePZPQk4ROL7wF5lR5Nwjx8je,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Swimming Pool,,{},"Take a refreshing dip in our swimming pool, available exclusively to hotel guests. Relax on poolside loungers or enjoy a leisurely swim in a serene and inviting setting.",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaSwimmerSolid.svg,,{https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/S3Id_1734913147060_3FzlEtGzQRZFgNtQ4G5S39HgBXqhloAOe3o0q80RKPEO9/1736375098423_Swimming_Pool_4.png}
content_1736296514763_M81tzBZdkaWHS2UChM5kHgGXNZqqAQobgJv2zCITRM,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Spa Services,,{},"Indulge in relaxation at our spa, offering a range of rejuvenating treatments, including massages, facials, and body therapies. Reservations are recommended for a truly personalized experience.

",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaSwatchbookSolid.svg,,{https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/S3Id_1734913147060_3FzlEtGzQRZFgNtQ4G5S39HgBXqhloAOe3o0q80RKPEO9/1736819494597_Massage_Grand_Velas_Riviera_Nayarit_Mexico-1024x682.jpg}
content_1736296246933_O8oouNLdDziIO1D07GFiJ1QlRmZbBEoGc9cVPQcVZW,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Hotel Policies,,{},"Our policies are designed to ensure a pleasant stay for all guests. Please familiarize yourself with our guidelines on cancellations, pets, and smoking, which are crafted to maintain a safe and comfortable environment.",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaFolderPlusSolid.svg,,
content_1736296173293_GZVG4iAPco3Lhd43ImqBbyoGLt29RizUnDml79Y9TZ,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},About the Hotel,,{},"Welcome to our hotel! We are dedicated to providing a comfortable and memorable stay for all our guests. From luxurious accommodations to exceptional service, we strive to exceed your expectations at every turn.

",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaChartPieSolid.svg,,{}
content_1736296205477_R4Ng6oE7QaFVKIkr8nqLwFH3E5lIDRmW1T7VhxVBB6,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Address & Directions,,{},"Located conveniently in the heart of the city, our hotel is easily accessible by car, public transport, or shuttle services. Detailed directions are available on our website, or you can contact the front desk for personalized guidance.",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaCampgroundSolid.svg,,
content_1736736810632_8OaDMeqcGNiY85kuSYLUY1mANW7IFVkx6VKvMQxGvF,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Welcome,,{},"Dear Guest,

We are delighted to have you with us at [Hotel Name]. Whether you’re here for business or leisure, our team is dedicated to making your stay both comfortable and memorable.

This Digital Compendium is designed to be your guide throughout your stay. Here, you’ll find all the essential information you need about our hotel, services, and facilities, as well as tips for exploring the local area.",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/ThumbsUp.svg,,
content_1736296304396_pI8J5w6wGuNKVj8Hsu6DAXJOdWD87QFC0CNa3xJvgi,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Parking Information,,{},"Ample parking is available for all guests, with options for valet or self-parking. Spaces are secure and easily accessible, providing peace of mind for those traveling by car.

",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaCarSideSolid.svg,,
content_1736296329532_7a8ZfwGR9YCt8srGHffhLdoeKImOS7oHfuArqIPhqh,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Public Transport Options,,{},"Our location offers excellent access to public transportation, with nearby bus stops and train stations connecting you to major attractions and business centers. Speak to our concierge for route recommendations.",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaShuttleVanSolid.svg,,
content_1736296286691_tTLz7aUbIm3DaIailw4cbQjjmNu5wURTqyciGMwj5G,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Shuttle Bus,,{},"We offer convenient shuttle services to and from the airport, as well as popular local destinations. Schedules and pick-up points are designed to align with your itinerary, ensuring hassle-free transport throughout your stay.",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaCarSolid.svg,,
content_1736296364642_0RN6EP3fe2f0rPlnYWqSv0qfhaUz9eiaoftgYkvlqV,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Restaurants,,{},"Delight in our on-site restaurants, where a variety of cuisines are prepared by world-class chefs. Whether you prefer a casual meal or a fine dining experience, our menus cater to all tastes and dietary preferences.",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaCookieBiteSolid.svg,,
content_1736296398516_rxrn7Sgx3kQX1mKzWxXGVMTbS0Wr5ersGoCS7z0NLr,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Room Service,,{},"Enjoy the convenience of room service, offering a wide selection of meals and beverages delivered directly to your door. Available 24/7, it’s perfect for a late-night snack or a relaxing breakfast in bed.

",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaCookieSolid.svg,,
content_1736296531514_nMtDaWdWGdVE6MsKqeWS5RNennYW19kHKyAtyCt0Xs,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Kids�?Activities,,{},"Keep the little ones entertained with our selection of kids�?activities, from supervised play areas to fun workshops. Our family-friendly environment ensures a memorable stay for guests of all ages.",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaBabySolid.svg,,
content_1736296436960_rCaxazGGtu14h1epyobJktnQIZ66Sjx5eanUx6T7F6,t,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,{},Fitness Center,,{},"Maintain your workout routine at our fully equipped fitness center, featuring modern machines and free weights. Open daily, the facility is designed for your convenience and comfort.

",,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaRunningSolid.svg,,{https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/S3Id_1734913147060_3FzlEtGzQRZFgNtQ4G5S39HgBXqhloAOe3o0q80RKPEO9/1736375130362_Fitness_Center_2.png}
content_1736295904719_TNToKtduUReASA1NESTPX8RjXmQLaGZdUvOdUxVZI4,f,sidebar,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,"{content_1736296286691_tTLz7aUbIm3DaIailw4cbQjjmNu5wURTqyciGMwj5G,content_1736296304396_pI8J5w6wGuNKVj8Hsu6DAXJOdWD87QFC0CNa3xJvgi,content_1736296329532_7a8ZfwGR9YCt8srGHffhLdoeKImOS7oHfuArqIPhqh}",Transportation,,{},,,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaCarSolid.svg,https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/S3Id_1734913147060_3FzlEtGzQRZFgNtQ4G5S39HgBXqhloAOe3o0q80RKPEO9/1736818194015_03_limousine_transfer.jpg,{}
content_1736295915431_nByt5ZsnFhwiiLLGjvnZOXw7VqZBf97LQILIfWr0ti,f,sidebar,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,"{content_1736296364642_0RN6EP3fe2f0rPlnYWqSv0qfhaUz9eiaoftgYkvlqV,content_1736296398516_rxrn7Sgx3kQX1mKzWxXGVMTbS0Wr5ersGoCS7z0NLr}",Dining,,{},,,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/Dine.svg,https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/S3Id_1734913147060_3FzlEtGzQRZFgNtQ4G5S39HgBXqhloAOe3o0q80RKPEO9/1736374994622_Dining_4.png,{}
content_1736295924694_eyeLQCwjBlap24wc3cQF1wdfGoZ5UKyEJzhHUjsY46,f,sidebar,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,"{content_1736296436960_rCaxazGGtu14h1epyobJktnQIZ66Sjx5eanUx6T7F6,content_1736296473669_85jhCjPVp8xpYT34gAePZPQk4ROL7wF5lR5Nwjx8je,content_1736296514763_M81tzBZdkaWHS2UChM5kHgGXNZqqAQobgJv2zCITRM,content_1736296531514_nMtDaWdWGdVE6MsKqeWS5RNennYW19kHKyAtyCt0Xs}",Amenities,,{},,,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaCitySolid.svg,https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/S3Id_1734913147060_3FzlEtGzQRZFgNtQ4G5S39HgBXqhloAOe3o0q80RKPEO9/1736818249234_health-club.jpg,{}
content_1736295895201_jiK7WxZ8shVDpAyaJuMs5ax2gh3bxmlvon5JAdr2Mu,f,sidebar,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,"{content_1736296173293_GZVG4iAPco3Lhd43ImqBbyoGLt29RizUnDml79Y9TZ,content_1736296205477_R4Ng6oE7QaFVKIkr8nqLwFH3E5lIDRmW1T7VhxVBB6,content_1736296224598_0aU0XQwTE4NTi5LN9nRVndnaSARtTP8nMF5CyByKq1,content_1736296246933_O8oouNLdDziIO1D07GFiJ1QlRmZbBEoGc9cVPQcVZW}",General Information,,{},,,{},https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/public/spot_icons/LiaBookMedicalSolid.svg,https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/S3Id_1734913147060_3FzlEtGzQRZFgNtQ4G5S39HgBXqhloAOe3o0q80RKPEO9/1736817590320_66a74dc32229f98f5c146a7b_6698555b4b2239bc7e530d1a_hotel20manager20hoteliers.jpeg,{}
content_1735889471549_G53gq3y7TRjzokm2ufKikxoE1ZcnKCQs2mmm15libc,f,None,t,user_1734913147291_sC2y81lheCuJW2N4Kj9w1g5SuOnfJAIdNy073NWZMdE3X,"{content_1736736810632_8OaDMeqcGNiY85kuSYLUY1mANW7IFVkx6VKvMQxGvF,content_1736294516864_RbiFTaSOYBtAT6oVhX9KThNxP0PDEEMdIb0JeLQ98D,content_1736295895201_jiK7WxZ8shVDpAyaJuMs5ax2gh3bxmlvon5JAdr2Mu,content_1736295904719_TNToKtduUReASA1NESTPX8RjXmQLaGZdUvOdUxVZI4,content_1736295915431_nByt5ZsnFhwiiLLGjvnZOXw7VqZBf97LQILIfWr0ti,content_1736295924694_eyeLQCwjBlap24wc3cQF1wdfGoZ5UKyEJzhHUjsY46}",Services & Facilities,,{},,HotelManagedEndpoint,"""""",,https://pladdypusv2.s3.ap-southeast-2.amazonaws.com/S3Id_1734913147060_3FzlEtGzQRZFgNtQ4G5S39HgBXqhloAOe3o0q80RKPEO9/1736740310217_services-facilities.jpg,{}
